ParticleIndex,x,y,z,Lx,Ly,Lz,Lxy
543,380,224,686,2,10,12,15
544,402,570,686,6,12,9,14
545,336,522,688,5,12,9,14
546,442,274,690,3,10,12,15
547,496,328,692,4,10,12,15
548,558,378,692,5,10,12,15
549,618,430,694,6,10,12,15
550,460,616,696,7,12,9,14
551,282,282,698,2,11,11,15
552,672,478,698,7,10,12,15
553,350,328,702,3,11,11,15
554,406,382,706,4,11,11,15
555,460,434,708,5,11,11,15
556,526,482,708,6,11,11,15
557,572,182,708,3,9,14,16
558,586,532,708,7,11,11,15
559,696,292,708,5,9,14,16
560,814,406,708,7,9,14,16
561,634,234,710,4,9,14,16
562,760,344,710,6,9,14,16
563,646,578,712,8,11,11,15
564,254,392,714,3,12,10,15
565,424,186,718,2,10,13,16
566,316,434,720,4,12,10,15
567,506,582,722,7,12,10,15
568,376,486,724,5,12,10,15
569,602,342,724,5,10,13,16
570,440,534,726,6,12,10,15
571,486,236,726,3,10,13,16
572,542,288,726,4,10,13,16
573,664,392,728,6,10,13,16
574,332,244,730,2,11,12,16
575,724,446,732,7,10,13,16
576,394,292,736,3,11,12,16
577,452,344,738,4,11,12,16
578,508,394,740,5,11,12,16
579,572,450,742,6,11,12,16
580,304,350,748,3,12,11,16
581,624,498,748,7,11,12,16
582,366,396,752,4,12,11,16
583,528,200,754,3,10,14,17
584,592,248,754,4,10,14,17
585,420,452,758,5,12,11,16
586,548,548,758,7,12,11,16
587,648,306,758,5,10,14,17
588,708,360,758,6,10,14,17
589,482,500,762,6,12,11,16
590,774,418,762,7,10,14,17
591,268,456,764,4,13,10,16
592,376,208,764,2,11,13,17
593,338,502,768,5,13,10,16
594,440,254,770,3,11,13,17
595,498,304,772,4,11,13,17
596,556,360,776,5,11,13,17
597,618,410,776,6,11,13,17
598,674,460,778,7,11,13,17
599,354,308,780,3,12,12,17
600,412,362,784,4,12,12,17
601,466,412,790,5,12,12,17
602,528,468,790,6,12,12,17
603,588,514,794,7,12,12,17
604,322,416,798,4,13,11,17
605,382,466,800,5,13,11,17
606,444,518,802,6,13,11,17
607,506,562,808,7,13,11,17
